2024-10-10 12:34:12,660 | crawler.vnexpress | Line 97 | INFO | Crawl articles type thoi-su
2024-10-10 12:39:13,261 | crawler.vnexpress | Line 122 | INFO | The number of failed giao-duc URL: 0
2024-10-10 12:39:13,261 | crawler.vnexpress | Line 123 | INFO | -------------------------------------------------------------------------------
2024-10-10 12:39:13,262 | crawler.vnexpress | Line 97 | INFO | Crawl articles type suc-khoe
2024-10-10 12:39:13,262 | crawler.vnexpress | Line 101 | INFO | Getting urls of suc-khoe...
2024-10-10 12:39:14,356 | crawler.vnexpress | Line 108 | INFO | Crawling from urls of suc-khoe...
2024-10-10 12:39:14,356 | crawler.vnexpress | Line 60 | INFO | Start crawling urls from result/urls/suc-khoe.txt file...
2024-10-10 12:39:50,291 | crawler.vnexpress | Line 71 | INFO | Saving crawling result into result/suc-khoe directory...
2024-10-10 12:39:50,291 | crawler.vnexpress | Line 122 | INFO | The number of failed suc-khoe URL: 0
2024-10-10 12:39:50,291 | crawler.vnexpress | Line 123 | INFO | -------------------------------------------------------------------------------
2024-10-10 12:39:50,292 | crawler.vnexpress | Line 97 | INFO | Crawl articles type doi-song
2024-10-10 12:39:50,292 | crawler.vnexpress | Line 101 | INFO | Getting urls of doi-song...
2024-10-10 12:39:51,473 | crawler.vnexpress | Line 108 | INFO | Crawling from urls of doi-song...
2024-10-10 12:39:51,474 | crawler.vnexpress | Line 60 | INFO | Start crawling urls from result/urls/doi-song.txt file...
2024-10-10 12:40:17,899 | crawler.vnexpress | Line 80 | DEBUG | Crawling unsuccessfully: https://vnexpress.net/cach-vinasoy-mang-dinh-duong-tu-tu-nhien-den-nguoi-dung-4785845.html
2024-10-10 12:40:30,278 | crawler.vnexpress | Line 71 | INFO | Saving crawling result into result/doi-song directory...
2024-10-10 12:40:30,278 | crawler.vnexpress | Line 122 | INFO | The number of failed doi-song URL: 1
2024-10-10 12:40:30,279 | crawler.vnexpress | Line 123 | INFO | -------------------------------------------------------------------------------
2024-10-10 12:40:30,279 | crawler.vnexpress | Line 97 | INFO | Crawl articles type du-lich
2024-10-10 12:40:30,279 | crawler.vnexpress | Line 101 | INFO | Getting urls of du-lich...
2024-10-10 12:40:31,348 | crawler.vnexpress | Line 108 | INFO | Crawling from urls of du-lich...
2024-10-10 12:40:31,348 | crawler.vnexpress | Line 60 | INFO | Start crawling urls from result/urls/du-lich.txt file...
2024-10-10 12:40:38,402 | crawler.vnexpress | Line 80 | DEBUG | Crawling unsuccessfully: https://vnexpress.net/cam-nang-du-lich-tay-ninh-4795506.html
2024-10-10 12:40:51,651 | crawler.vnexpress | Line 80 | DEBUG | Crawling unsuccessfully: https://vnexpress.net/cam-nang-du-lich-soc-trang-4793923.html
2024-10-10 12:41:10,571 | crawler.vnexpress | Line 71 | INFO | Saving crawling result into result/du-lich directory...
2024-10-10 12:41:10,571 | crawler.vnexpress | Line 122 | INFO | The number of failed du-lich URL: 2
2024-10-10 12:41:10,572 | crawler.vnexpress | Line 123 | INFO | -------------------------------------------------------------------------------
2024-10-10 12:41:10,572 | crawler.vnexpress | Line 97 | INFO | Crawl articles type so-hoa
2024-10-10 12:41:10,572 | crawler.vnexpress | Line 101 | INFO | Getting urls of so-hoa...
2024-10-10 12:41:11,246 | crawler.vnexpress | Line 108 | INFO | Crawling from urls of so-hoa...
2024-10-10 12:41:11,246 | crawler.vnexpress | Line 60 | INFO | Start crawling urls from result/urls/so-hoa.txt file...
2024-10-10 12:41:47,514 | crawler.vnexpress | Line 71 | INFO | Saving crawling result into result/so-hoa directory...
2024-10-10 12:41:47,515 | crawler.vnexpress | Line 122 | INFO | The number of failed so-hoa URL: 0
2024-10-10 12:41:47,515 | crawler.vnexpress | Line 123 | INFO | -------------------------------------------------------------------------------
2024-10-10 12:41:47,515 | crawler.vnexpress | Line 97 | INFO | Crawl articles type oto-xe-may
2024-10-10 12:41:47,515 | crawler.vnexpress | Line 101 | INFO | Getting urls of oto-xe-may...
2024-10-10 12:41:48,355 | crawler.vnexpress | Line 108 | INFO | Crawling from urls of oto-xe-may...
2024-10-10 12:41:48,355 | crawler.vnexpress | Line 60 | INFO | Start crawling urls from result/urls/oto-xe-may.txt file...
2024-10-10 12:42:19,971 | crawler.vnexpress | Line 71 | INFO | Saving crawling result into result/oto-xe-may directory...
2024-10-10 12:42:19,971 | crawler.vnexpress | Line 122 | INFO | The number of failed oto-xe-may URL: 0
2024-10-10 12:42:19,971 | crawler.vnexpress | Line 123 | INFO | -------------------------------------------------------------------------------
2024-10-10 12:42:19,971 | crawler.vnexpress | Line 97 | INFO | Crawl articles type y-kien
2024-10-10 12:42:19,971 | crawler.vnexpress | Line 101 | INFO | Getting urls of y-kien...
2024-10-10 12:42:21,194 | crawler.vnexpress | Line 108 | INFO | Crawling from urls of y-kien...
2024-10-10 12:42:21,194 | crawler.vnexpress | Line 60 | INFO | Start crawling urls from result/urls/y-kien.txt file...
2024-10-10 12:42:50,839 | crawler.vnexpress | Line 71 | INFO | Saving crawling result into result/y-kien directory...
2024-10-10 12:42:50,840 | crawler.vnexpress | Line 122 | INFO | The number of failed y-kien URL: 0
2024-10-10 12:42:50,840 | crawler.vnexpress | Line 123 | INFO | -------------------------------------------------------------------------------
2024-10-10 12:42:50,840 | crawler.vnexpress | Line 97 | INFO | Crawl articles type tam-su
2024-10-10 12:42:50,841 | crawler.vnexpress | Line 101 | INFO | Getting urls of tam-su...
2024-10-10 12:42:52,521 | crawler.vnexpress | Line 108 | INFO | Crawling from urls of tam-su...
2024-10-10 12:42:52,522 | crawler.vnexpress | Line 60 | INFO | Start crawling urls from result/urls/tam-su.txt file...
2024-10-10 12:43:01,717 | crawler.vnexpress | Line 71 | INFO | Saving crawling result into result/tam-su directory...
2024-10-10 12:43:01,718 | crawler.vnexpress | Line 122 | INFO | The number of failed tam-su URL: 0
2024-10-10 12:43:01,718 | crawler.vnexpress | Line 123 | INFO | -------------------------------------------------------------------------------
2024-10-10 12:43:01,718 | crawler.vnexpress | Line 97 | INFO | Crawl articles type thu-gian
2024-10-10 12:43:01,718 | crawler.vnexpress | Line 101 | INFO | Getting urls of thu-gian...
2024-10-10 12:43:02,585 | crawler.vnexpress | Line 108 | INFO | Crawling from urls of thu-gian...
2024-10-10 12:43:02,586 | crawler.vnexpress | Line 60 | INFO | Start crawling urls from result/urls/thu-gian.txt file...
2024-10-10 12:43:43,300 | crawler.vnexpress | Line 71 | INFO | Saving crawling result into result/thu-gian directory...
2024-10-10 12:43:43,300 | crawler.vnexpress | Line 122 | INFO | The number of failed thu-gian URL: 0
2024-10-10 12:43:43,301 | crawler.vnexpress | Line 123 | INFO | -------------------------------------------------------------------------------
2024-10-10 12:43:43,301 | crawler.vnexpress | Line 52 | INFO | The number of failed URL: 9
